Имя / Название,Telegram Username,Очки активности,Описание (Bio),Что рекламируют (Контекст),Где размещаются (Каналы),Кол-во рекламы в базе,Пример последнего поста
Easy Catering,@EasyCatering_rs,1.8,Не заполнено,Heuristic Match: пишите в лс,Активен в 1 каналах,1,"**Повар-универсал 👨‍🍳**
Мы ищем опытного повара, готового поддерживать высокие стандарты качества в ..."
Iván,@qooox,1.8,Не заполнено,Heuristic Match: услуги цена,Активен в 1 каналах,1,"Помогаю хозяйке сдать квартиру, в которой жил. Свободна с 1 мая, смотреть можно уже сейчас.

📍 Адрес..."
Даниил Визаран Белград,@Daniil_SRBVisarun,1.8,Не заполнено,Heuristic Match: услуги предлагаю прайс,Активен в 1 каналах,1,"**ВИЗАРАН / ТРАНСФЕР / ТЕМАТИЧЕСКИЕ ПОЕЗДКИ / ИКЕЯ**

Доброго времени суток! Меня зовут Даниил ✌🏻

П..."
Dasha Marinina,@mar_dasha,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Babyliss styler AS960E
https://babyliss.rs/proizvod/cetka-za-kosu-as960e/
Пользовалась 1 раз, все ще..."
rus_logistics,@rus_logistics,1.8,Не заполнено,Heuristic Match: viber whatsapp,Активен в 1 каналах,1,"✅ Грузоперевозки №1 в Белграде

🇷🇸 𝑹𝑼𝑺 𝑳𝑶𝑮𝑰𝑺𝑻𝑰𝑪𝑺 🇷🇸

🚚 Квартирные и Офисные переезды «Под ключ»
🚀 До..."
vracar_sava_sale,@vracar_sava_sale,1.8,Не заполнено,Heuristic Match: курс,Активен в 1 каналах,1,Кресло от IKEA [JÄRVFJÄLLET](https://www.ikea.com/rs/sr/p/jaervfjaellet-kancelarijska-stolica-s-ruko...
Liusiia Litvin,@Lyusiya_Litvin,1.8,Не заполнено,Heuristic Match: предлагаю стоимость пишите,Активен в 1 каналах,1,"**Уроки музыки**

Доброго времени всем!

Предлагаю

__ОНЛАЙН - ЗАНЯТИЯ__ по:

**вокалу
фортепиано
со..."
Vika Pulkina,@vika_pulkina,1.8,Не заполнено,Heuristic Match: цена пишите,Активен в 1 каналах,1,"📦 Товар:  
[English Grammar In Use](https://www.joinin.rs/product-page/english-grammar-in-use-5th-ed..."
Elena,@ElenaChernaenko,1.8,Не заполнено,Heuristic Match: предлагаю стоимость заказ,Активен в 1 каналах,1,"Предлагаю домашние вафельные трубочки с варёной сгущёнкой, приготовленные из натуральных продуктов. ..."
Ira,@IraSoroka,1.8,Не заполнено,Heuristic Match: стоимость заказ viber (Business),Активен в 1 каналах,1,"**Кулинарный мастер-класс «Грузинский вечер» 🍲
🗓 19 апреля (воскресенье) 18:00**

Приглашаем Вас при..."
