Name,Username,Score,Bio,Heuristic Notes
Yulia,@douli,1.8,,
Anatoly Morozov,@dev_moroz,1.8,,
Elena MoS Business,@Viktoria_rsb,1.8,,
rasprodazazemun,@rasprodazazemun,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: цена
serbia_rekommendation,@serbia_rekommendation,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: аренда
marinaswap,@marinaswap,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: продам цена
Rasan,@rasan4ik,1.8,,
purrmacka,@purrmacka,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: пишите
Yuriy Vizaranov,@yuriyvizaranov,1.8,,
Александр Степанов,@Alexastepanov,1.8,,
Tehno_Belgrade,@Tehno_Belgrade,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: цена
samoilova_olga_nails_bgd,@samoilova_olga_nails_bgd,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: пишите (Business)
Irina,@irikime,1.8,,
Olga,@Olga_tgnails,1.8,,
Даниил Визаран Белград,@Daniil_SRBVisarun,1.8,,
diskountbelgrad,@diskountbelgrad,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: стоимость пишите (Business)
ssmolianinova,@ssmolianinova,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: цена
gmail,@gmail,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: заказ обучение подбор (Business)
AreaSell,@AreaSell,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: услуги
ClearTrustAuto,@ClearTrustAuto,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: пишите
VH,@VH_BGD,1.8,,
MaryKondoSale,@MaryKondoSale,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: курс
Ira,@IraSoroka,1.8,,
enterfamily,@enterfamily,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: курс
otkupbelgrad_rs,@otkupbelgrad_rs,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: телефон
gundulicevsale,@gundulicevsale,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: цена
GuitarWay🎸,@guitarway_academy,1.8,,
caticornertingcat,@caticornertingcat,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: обучение
Vladimir,@vladimir_srb,1.8,,
Татьяна Millenium Insurance,@milenijum_osiguranje,1.8,,
Леонид Мастер,@leonid_majstor_beograd,1.8,,
garagesale458,@garagesale458,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: пишите
Aleksandar | Simply AS Web,@simplyasweb,1.8,,
Никита,@btwzhabs,1.8,,
"Ivan Car Rental, Transfer and Travel",@Kotiki_Car_rental_transfer,1.8,,
rashlamin_go,@rashlamin_go,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: цена
JustStuffrs,@JustStuffrs,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: продам
София,@sofiko_new26,1.8,,
Евгений Ихонкин,@ihonkin_marketing,1.8,,
Мастер быстро,@Macmep_Belgrad,1.8,,
Jelena Filipovic Jakovljevic,@jelena_fj,1.8,,
Julia Ismailova,@YuliiaIsmailova,1.8,,
talystia,@talystia,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: пишите
Dmitrii Cleaning Belgrad,@Dmitrii_Cleaning,1.8,,
Татьяна,@Letniidozhd,1.8,,
Николай Мастер Белград,@Nikola_8866,1.8,,
Ivan,@crystalline_structures,1.8,,
Vika Pulkina,@vika_pulkina,1.8,,
olex,@ollelujah,1.8,,
amh_store_bot,@amh_store_bot,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: продам
thestorage_by_rare,@thestorage_by_rare,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: цена телефон
Alisanovisadcake,@Alisanovisadcake,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: пишите в лс (Business)
sale_bg1,@sale_bg1,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: цена
Alex,@AleksandrBelgrad,1.8,,
Sofia Smolianinova,@smolianinovasof,1.8,,
Fedor Cvetkov,@Fedorcvetkov,1.8,,
Easy Way - ВИЗАРАН,@visarun_transfer,1.8,,
Марина Бодневич | Пилатес,@marina_bodnevich,1.8,,
prodaybeshi123,@prodaybeshi123,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: в лс
garage_sale_belgrade_sava,@garage_sale_belgrade_sava,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: в лс
jokibroki,@jokibroki,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: цена
Сергей Терех Terekhforyou,@Terekhforyou,1.8,,
Danil Shadrin,@daniills22,1.8,,
Maksim iRadnja,@iradnik,1.8,,
rentcarsserbia,@rentcarsserbia,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: аренда viber whatsapp
beogradski_sale,@beogradski_sale,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: телефон
Mari,@maristan06,1.8,,
BroCleaning,@brocleaning_srb,1.8,,
Liusiia Litvin,@Lyusiya_Litvin,1.8,,
MVRentacar,@MVRentacar,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: аренда viber whatsapp
OnlyApple,@onlyapplesrb,1.8,,
SergoHvala,@sergohvala85,1.8,,
November Kilo Service,@novemberkiloservice,1.8,,
Majstor_Serbia,@Majstor_Serbia,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: пишите
Виталий | Трансфер по Сербии,@vitaly_transfer,1.8,,
Daria,@dashinomoto,1.8,,
Екатерина Метрика,@metrikateam,1.8,,
Дарья Бытченко,@daria_by_star,1.8,,
Мастер В Белграде,@Belgrade_master,1.8,,
Sofiia,@SofiiaParezanovic,1.8,,
Maša,@CleaningBeograd369,1.8,,
🦊,@yyyrrrkk,1.8,,
Zovy.app,@zovy_app,1.8,,
MV Servis Manager,@MV_Servis_manager,1.8,,
Алина,@bzhdmn,1.8,,
tima,@tima_faye,1.8,,
Andrei | designer,@chernyshev_dsgn,1.8,,
apple_smart_rs,@apple_smart_rs,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: цена
designlavka2go,@designlavka2go,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: стоимость подбор
straysafe,@straysafe,1.8,,Heuristically detected as ad buyer. Match: Heuristic Match: ищу помощь
Radik Maslennikov,@mista_radar,1.8,,
Pavel Вootlegger,@pavelbootlegger,1.8,,
Полина,@Mlle_Fleuri,1.8,,
Azaliya Galieva,@alice_raay,1.8,,
Игорь Доктор за компjутере,@viglrr,1.8,,
Mariia Pilipson,@Mary_Maryland,1.8,,
Maria Chepkasova,@maria_chepkasova,1.8,,
Seda Jafarova,@OkkamRazors,1.8,,
Service A/C Чистка/Ремонт кондиционеров(сплит-систем),@fresh473,1.8,,
Ktsh Volkova,@belyibimchernoeuho,1.8,,
